timestamp,mood,Calories,Fat,Fiber,Carbs,Sodium,Protein,Keyword
1,6,985,34.6,6.6,145.6,1500,19.9,McDonald-chicken-chocolate pie-burger-ice cream-fries
2,1,594,9.6,5.2,46.2,101,75.2,pork-ramen
3,2,669,10,7.5,109.6,1094.6,25.8,egg-bagguette-Pepsi-cucumber-mushroom-penne
4,6,649,10.6,4.2,108.1,132.6,31.7,soba-pasta-chicken-Starbucks
5,1,500,8.8,4.9,85.1,582.6,18.6,chicken-curry
6,2,519,16.6,1.8,43.8,372.4,24,chicken wings-pho-crabs-fried
7,6,385,16.2,1,48.5,755,11.5,coffee-biscuits
8,5,893,43,4.2,85.7,1650,38.9,chicken wings-pizza
9,6,528,12.8,1,70.6,912.3,33.2,sushi
10,5,955,51,3.2,75.3,824.1,48.4,onion sauce-pork-apple pie-potato
11,1,494,18,2.1,62.8,897.9,18.7,chicken-biriyani
12,4,628,6.1,4.6,102.2,1247.5,13.4,Yoshinoya-rice-chicken-vegetable-cola
13,1,702,11.3,6.2,128.8,566.3,18.6,vermicelli-pho-chicken wings
14,1,493,14.1,4.6,54.4,1289.2,35.3,dim sum
15,6,171,0,0,22,60,1.8,yakulk-smoothie
16,1,515,15.9,2.6,59.4,1905,30.9,Spanish Paella
17,6,500,8.8,4.9,85.1,582.6,18.6,chicken curry-rice
18,1,551,28.7,0.2,20.9,310.6,25.6,alcohol-meat
19,1,528,12.8,1,70.6,912.3,33.2,sushi
20,6,657,6.6,14.3,58,388.2,11.3,Yoshinoya-hot pot
21,6,657,6.6,14.3,58,388.2,11.3,shabu shabu-hot pot
22,6,789,42.4,2.5,100.4,285,9.7,cookies
23,1,690,25,12.5,85.9,2164.4,29.9,pork
24,3,893,26.8,4.4,112.5,3159.4,46.7,chicken-soup-beef-bibimbap
25,8,586,14,2.7,89.8,433,22,bibimbab
26,6,949,43.4,1.4,77.7,1421.6,38.5,chicken wings-beer-pizza-nachos-cheese sticks
27,1,272,6.4,1.4,44.1,409.6,10.2,milk tea
28,2,657,6.6,14.3,58,388.2,11.3,yoshinoya-hot pot
29,8,662,36.2,2.8,53.3,410,30.5,sausage-turnip cake-chicken fillet-milk tea
30,1,594,9.6,5.2,46.2,101,75.2,ramen-pork
31,3,694,30.6,4.8,61.4,2207.8,45.1,subway-sandwich-airplain menu
32,6,369,23.4,1.8,16.3,903.3,22,omelette
33,6,434,13.9,5.2,72.7,586,7.8,waffle-icecream-apple
34,2,930,39.1,4.8,94.5,1498,46.8,sweet potatoes-dumplings
35,8,557,20.4,1.5,79.1,534.3,13.7,Danish toast-coffee
36,4,602,15.9,14.3,75.7,1412.1,39.8,chicken-vegetable-rice
37,8,915,30.8,15.1,106.8,2225.2,53.5,dim sum-vegetable
38,1,641,32.9,5.9,63.2,389.8,21.6,sausage-sandwich-fries
39,8,657,6.6,14.3,58,388.2,11.3,hot pot
40,1,879,37.7,8.3,98.8,1531.8,34.9,beef-rice-noodles-oysters
41,6,772,44.1,1,31.4,568.3,56.9,shrimp-egg-mochi
42,5,708,25.3,5.3,45.2,229.6,14.4,soymilk-churros-sandwich
43,6,644,11.8,14.3,75.7,1420.3,58.3,pork-vegetable-rice
44,5,93,7.3,0,0.4,98,6.5,omelette
45,5,388,19.1,0.7,46.7,378,8.9,cake
46,8,207,15,0,8.6,2059.7,10.7,oyster-omelette
